timestamp,date,temp
2025-09-04T22:54:46.222007,2025-09-04,+19
2025-09-04T23:05:59.569663,2025-09-04,+19
2025-09-07T19:24:09.091957,2025-09-07,+23
2025-09-08T23:11:51.738465,2025-09-08,+23
2025-09-09T21:05:20.026987,2025-09-09,+24
2025-09-10T21:24:52.313798,2025-09-10,+22
2025-09-10T22:58:08.552078,2025-09-10,+15
2025-09-11T23:24:59.365176,2025-09-11,+16
2025-09-12T19:27:43.423476,2025-09-12,+16
